text,emotion,dialog_idx,utterance_idx,speaker,act
What are you working on?,no emotion,0,0,1,question
I'm figuring out my budget.,no emotion,0,1,0,inform
Umm…. What budget?,no emotion,0,2,1,question
"I'm making a shopping budget, so that I don't spend too much money.",no emotion,0,3,0,inform
How much money can you spend?,no emotion,0,4,1,question
I can only spend three hundred dollars a month.,no emotion,0,5,0,inform
Why only three hundred dollars?,no emotion,0,6,1,question
I need to save the rest.,no emotion,0,7,0,inform
For what?,no emotion,0,8,1,question
I need to pay my bills.,no emotion,0,9,0,inform
Your budget is a good idea.,happiness,0,10,1,inform
"I know. It's going to save me a lot of money, I hope.",happiness,0,11,0,inform
"Well, how does it look?",no emotion,1,0,0,question
It's a perfect fit.,happiness,1,1,1,inform
Let me pay for it now.,no emotion,1,2,0,directive
"Cash, credit card, or debit card?",no emotion,1,3,1,question
Umm I think I'll use my credit card.,no emotion,1,4,0,inform
"Your signature here, please, and we're finished.",no emotion,1,5,1,directive
Here's my John Hancock.,no emotion,1,6,0,commissive
Bye-bye. Visit us again soon!,happiness,1,7,1,commissive
Hello. Overseas operator. May I help you?,no emotion,2,0,0,question
Yes. I'd like to make a collect call to Japan.,no emotion,2,1,1,directive
"Your name, please?",no emotion,2,2,0,directive
It's Helen Kent.,no emotion,2,3,1,commissive
Who would you like to talk to?,no emotion,2,4,0,question
I'd like to talk to Mr. Edna Kent.,no emotion,2,5,1,inform
Is that Mr. Edna Kent?,no emotion,2,6,0,question
That's right.,no emotion,2,7,1,inform
"What number are you calling from, please?",no emotion,2,8,0,directive
From code five one three four three two six seven four eight.,no emotion,2,9,1,commissive
"And the number in Japan, please?",no emotion,2,10,0,directive
"Country code is eighty one, area code on ethirty eight, and the number is eight four six eight nine seven two.",no emotion,2,11,1,commissive
"Hold the line, please. I'll put your call through.",no emotion,2,12,0,directive
Did you bring some lunch with you?,no emotion,3,0,1,question
"Yes, I packed it myself.",happiness,3,1,0,inform
"Wow, that looks beautiful.",happiness,3,2,1,inform
"It's my health-conscious lunch, good for my health and beauty.",happiness,3,3,0,inform
"Umm, I might try it myself.",happiness,3,4,1,inform
"Good morning, Miss Wang. How beautiful you look today!",no emotion,4,0,0,inform
Thank you. I'm wearing make-up.,no emotion,4,1,1,inform
Who taught you to put on make-up?,no emotion,4,2,0,question
It's me. I have studied make-up at a beauty shop.,no emotion,4,3,1,inform
Can you teach me how to do make-up?,no emotion,4,4,0,question
"Of course. First, use eye shadow to heighten your eyes.",no emotion,4,5,1,inform
What eye shadow do you think is the most fit for me?,no emotion,4,6,0,question
I think pink eye shadow is popular among Chinese people.,no emotion,4,7,1,inform
How do you protect yourself from chapped lips?,no emotion,4,8,0,question
"I suggest you use lipstick, which also accentuates your lips.",no emotion,4,9,1,inform
How did you grow such long nails?,no emotion,4,10,0,question
You have to pay attention to trimming them from time to time.,no emotion,4,11,1,inform
"Excuse me, could you tell me where you have got that music book?",no emotion,5,0,0,directive
"Certainly. Let me see. Oh, it's on that shelf.",happiness,5,1,1,commissive
"Uh, it's too high. I can't reach it. Could you help me?",no emotion,5,2,0,directive
Of course. Here you are.,happiness,5,3,1,commissive
Thank you very much.,happiness,5,4,0,inform
"Hi, this is Quipu Corporation. Is that Miss Zhang?",no emotion,6,0,0,question
"Yes speaking. Umm, is there anything I can do for you?",no emotion,6,1,1,question
I'm calling to tell you the items you are supposed to bring for the interview the day after tomorrow.,no emotion,6,2,0,directive
What do I need to take with me?,no emotion,6,3,1,question
"You'd better bring the diploma, identification card and several copies of your resume.",no emotion,6,4,0,directive
"Hello? This is John Smith. Can I speak to Mrs. White, please?",no emotion,7,0,0,directive
This is Mrs. White speaking.,no emotion,7,1,1,commissive
"Hi. I understand that you have a house for sale, haven’t you?",no emotion,7,2,0,question
Umm I’d like to know more about it.,no emotion,7,4,0,directive
Can you come to my office this afternoon at three o’clock?,no emotion,7,5,1,directive
OK. I will be there.,no emotion,7,6,0,commissive
Thank you for calling. Goodbye.,happiness,7,7,1,commissive
Can I help you?,no emotion,8,0,0,question
"Eh, I am looking for a porter, do you know where I can find one?",no emotion,8,1,1,question
There are so many here. The men with red hats are the porters.,no emotion,8,2,0,inform
What's the charge?,no emotion,8,3,1,question
"Well, it depends how many pieces of luggages you have.",no emotion,8,4,0,inform
Thank you.,happiness,8,5,1,inform
Excuse me? Do you have anything for a carsickness?,no emotion,9,0,1,directive
"Yes, but you look fine.",no emotion,9,1,0,commissive
"Oh, it's for my brother. The little boy over there. He is getting a carsickness.",no emotion,9,2,1,inform
Poor boy! But don't worry. Here are two pills made in Germany. It's really effective. He will be just fine.,no emotion,9,3,0,inform
Thank you so much.,no emotion,9,4,1,inform
"Take some with you next time, just in case.",no emotion,9,5,0,inform
"Sorry to interrupt, but my brother is still sleeping.",no emotion,9,6,1,inform
You mean the boy who felt carsick just now?,no emotion,9,7,0,question
Yes. It's so strange that he slept all the time after taking the pills.,no emotion,9,8,1,inform
"Oh, sorry, maybe I gave you the wrong medicine.",no emotion,9,9,0,inform
It's just sleeping pills made in America which is also very good. But don't worry. It has no undesirable side-effects.,no emotion,9,11,0,inform
I see.,no emotion,9,12,1,inform
"Hello, Tom!",no emotion,10,0,1,inform
"Hello, Skylar!",no emotion,10,1,0,inform
How are you doing?,no emotion,10,2,1,question
Not bad. What about you?,no emotion,10,3,0,question
I'm just a little tired.,no emotion,10,4,1,inform
I have a lot of work to do in the company recently.,no emotion,10,6,1,inform
How is your family?,no emotion,10,7,0,question
"Pretty fine, thanks.",no emotion,10,8,1,inform
Where are you going now?,no emotion,10,9,0,question
"I am going to buy a new air conditioner for my parents. Oh, it’s two o’clock. I must go now.",no emotion,10,10,1,inform
"OK, see you next time.",no emotion,10,11,0,inform
See you.,no emotion,10,12,1,inform
When’re you getting married?,no emotion,11,0,1,question
We planned our wedding for next May.,no emotion,11,1,0,inform
Why so late? Didn’t she want to get married this October?,no emotion,11,2,1,question
"Yeah, I did. But my fiancee has an important project.",no emotion,11,3,0,inform
"That’s really a shame. By the way, who will be the bridesmaid?",no emotion,11,4,1,question
"Julie’s friend, Mary. And John will be the best man.",happiness,11,5,0,inform
Wow! I’m very excited about your ceremony.,happiness,11,6,1,inform
I just had a terrible week.,sadness,12,0,1,inform
What a shame!,no emotion,12,1,0,inform
I fell down and hurt my arm.,sadness,12,2,1,inform
That's too bad.,no emotion,12,3,0,inform
Then my son drove into a tree.,sadness,12,4,1,inform
I'm sorry to hear that.,no emotion,12,5,0,inform
The dog bit the delivery boy.,sadness,12,6,1,inform
What a pity!,no emotion,12,7,0,inform
And a storm blew our roof away.,sadness,12,8,1,inform
"Ho, no!",no emotion,12,9,0,inform
"Jeff, I'm going to the supermarket. Do you want to come with me?",no emotion,13,0,1,directive
I think the supermarket is closed now.,no emotion,13,1,0,commissive
"Oh, When does it close?",no emotion,13,2,1,question
It closes at seven on Sundays.,no emotion,13,3,0,inform
That's too bad.,no emotion,13,4,1,inform
"Don't worry, we can go tomorrow morning. It opens at eight.",no emotion,13,5,0,directive
Alright. What do you want to do now?,happiness,13,6,1,question
Let's take a walk for a half an hour. My sister will get here at about 8: 30PM and then we can all go out to dinner.,happiness,13,7,0,directive
Where does she live?,no emotion,13,8,1,question
She lives in San Francisco.,no emotion,13,9,0,inform
How long has she lived there?,no emotion,13,10,1,question
I think she's lived there for about ten years.,no emotion,13,11,0,inform
That's a long time. Where did she live before then?,no emotion,13,12,1,question
San Diego.,no emotion,13,13,0,inform
"Umm excuse me? Can you do me a favor, please?",no emotion,14,0,0,directive
"It's my pleasure, what can I do for you?",happiness,14,1,1,question
I'm from England and I'm trying to make a travel plan for today.,no emotion,14,2,0,inform
What brings you here?,no emotion,14,3,1,question
I'm a flight attendant and I'm here on vacation.,no emotion,14,4,0,inform
Where are you staying?,no emotion,14,5,1,question
I live in the Holiday Inn Lido Hotel.,no emotion,14,6,0,inform
"Oh, it's not very far. And as far as I know it is a fancy place.",no emotion,14,7,1,inform
"Yes, it is. Do you know where I can get a town map?",no emotion,14,8,0,question
"We sell them, right here.",no emotion,14,9,1,inform
"Great, do you have any for foreigners? I mean English version?",happiness,14,10,0,question
There will be another sandstorm here tomorrow.,disgust,15,0,0,inform
It's the fourth one this year. Isn't it horrible.,disgust,15,1,1,question
Yes. We should plant more trees and grass to stop the sand from spreading.,no emotion,15,2,0,inform
It may take many years for the trees to grow. I hope people will stop cutting down trees.,no emotion,15,3,1,inform
But we need the wood.,no emotion,15,4,0,inform
But we can't destroy our forests to get the wood.,no emotion,15,5,1,inform
"Umm I am not certain, but I think I might ask to be considered for the new job.",no emotion,16,0,1,inform
Why are you considering trying for it?,no emotion,16,1,0,question
"I think that I might like it, but I am still thinking about it.",no emotion,16,2,1,inform
What is it about this job that appeals to you?,no emotion,16,3,0,question
I think that I would enjoy the position but there isn't a lot of creativity involved.,no emotion,16,4,1,inform
"Yes, you could be right. There is a lot to consider.",no emotion,16,5,0,inform
I am also wondering about the pay.,no emotion,16,6,1,inform
Would a slight decrease in pay be worth it for a new opportunity for growth?,no emotion,16,7,0,question
I am thinking that might be the case.,no emotion,16,8,1,inform
I think you should give it a shot. What do you have to lose? You can always change your mind.,no emotion,16,9,0,inform
Seattle restaurant. Is there anything I can do for you?,no emotion,17,0,1,question
I would like to book a table for five at seven tonight.,no emotion,17,1,0,inform
"Umm, may I have your name, please?",no emotion,17,2,1,question
Michael.,no emotion,17,3,0,inform
"OK, sir. We will arrange it for you.",happiness,17,4,1,inform
I've brought this dress back to exchange it.,no emotion,18,0,1,directive
"That's not a problem. Leave it with me, and find something that you like.",no emotion,18,1,0,commissive
I was hoping you'd have something on sale today.,no emotion,18,2,1,directive
Umm we have nothing on sale today. But we're having a big sale next weekend.,no emotion,18,3,0,commissive
Is the sale going to include dresses?,no emotion,18,4,1,question
Everything you can see will be on sale.,no emotion,18,5,0,inform
I like the sound of that. I'll just come back next weekend.,happiness,18,6,1,inform
