text,emotion,dialog_idx,utterance_idx,speaker,act,cleaned_text,original_emotion,mapped_emotion,emotion_id,is_augmented
"Really, it's so beautiful.",anxiety,1909,1,1,inform,"Lately, really, it is so beautiful.",fear,anxiety,1,True
She made another white crack about my clothes.,anger,2323,3,0,inform,She made another white crack about my clothes.,anger,anger,3,False
"Oh, that would be nice of you.",happiness,627,2,1,commissive,"Oh, that would be nice of you.",happiness,happiness,8,False
I think he had water on the brain. This is bad.,anger,2216,2,0,inform,"Honestly, I think he had water on the brain. This is bad.",disgust,anger,3,True
Umm not very well. I haven’t found anything within my price range yet.,calm_neutral,528,1,0,inform,"Honestly, Umm not very well. I have not found anything within my price range yet.",no emotion,calm_neutral,11,True
I think it’s too expensive. I can just give you four yuan. Or I’ll go to another B.,depression,1017,6,0,directive,I think it is too expensive. I can just give you four yuan. Or I will go to another B.,sadness,depression,0,False
What a thrilling trip!,anxiety,1221,8,1,inform,I really feel what a thrilling trip!,fear,anxiety,1,True
Would you like to get in shape together?,calm_neutral,2094,1,0,directive,Would you like to get in shape together?,no emotion,calm_neutral,11,False
I went to the library and lost my bag.,depression,1380,3,1,inform,I went to the library and lost my bag.,sadness,depression,0,False
That’s great. We can go boating on the lake in the afternoon.,happiness,1355,2,0,directive,That is great. We can go boating on the lake in the afternoon.,happiness,happiness,8,False
Umm... That is a good suggestion.,happiness,1937,6,1,commissive,Umm... That is a good suggestion.,happiness,happiness,8,False
"Umm, I don't know. She always said I didn't love her, but I did.",depression,1758,3,0,inform,"Umm, I do not know. She always said I did not love her, but I did.",sadness,depression,0,False
The Palace Hotel.,happiness,765,9,1,inform,The Palace Hotel.,happiness,happiness,8,False
OK. Here you are.,happiness,1080,10,0,commissive,OK. Here you are.,happiness,happiness,8,False
Really? Tell me without delay.,excitement,2032,4,0,directive,Really? Tell me without delay.,surprise,excitement,10,False
Thank you very much.,happiness,634,4,1,inform,Thank you very much.,happiness,happiness,8,False
What a pity!,depression,1434,7,0,inform,What a pity!,sadness,depression,0,False
"Oh, that’s very kind of you. I am going to the Garden Hotel.",happiness,1284,6,1,inform,"Oh, that is very kind of you. I am going to the Garden Hotel.",happiness,happiness,8,False
I'm sorry. These batteries are not on sale.,depression,2461,1,1,inform,I am sorry. These batteries are not on sale. and it's affecting me deeply,sadness,depression,0,True
Because they are too violent. Some of them are even disgusting.,anger,2207,2,0,inform,Because they are too violent. Some of them are even disgusting.,disgust,anger,3,False
I didn't think of it. Thank you. And I do apologize for being late.,depression,2220,4,1,commissive,I did not think of it. Thank you. And I do apologize for being late.,sadness,depression,0,False
Wow. That's too much for me. Don't you have anything cheaper?,excitement,1576,7,1,question,Wow. That is too much for me. Do not you have anything cheaper?,surprise,excitement,10,False
That sounds dreadful!,anger,2044,17,0,inform,That sounds dreadful!,disgust,anger,3,False
I wasn't happy with it.,anger,1209,5,0,inform,I was not happy with it.,disgust,anger,3,False
"I'm busy year in and year out, but now I've done nothing.",depression,683,0,0,inform,"I am busy year in and year out, but now I have done nothing.",sadness,depression,0,False
He should be back in about forty minutes.,calm_neutral,1389,5,0,inform,He should be back in about forty minutes.,no emotion,calm_neutral,11,False
I don't want to sit there and watch them torturing the animals.,anger,1402,3,0,inform,I do not want to sit there and watch them torturing the animals.,anger,anger,3,False
What is that below?,happiness,1750,2,0,question,What is that below?,happiness,happiness,8,False
I feel so tired.,depression,2530,1,0,inform,I feel so tired.,sadness,depression,0,False
I have to work on Saturday all day! I really hate my job!,anger,746,3,0,inform,I have to work on Saturday all day! I really hate my job!,anger,anger,3,False
All right. What should I take?,happiness,1178,5,1,question,All right. What should I take?,happiness,happiness,8,False
"Mary, can you tell me how you keep in shape?",calm_neutral,64,0,0,question,"Mary, can you tell me how you keep in shape?",no emotion,calm_neutral,11,False
You said the same thing three months ago.,anger,294,4,0,inform,You said the same thing three months ago.,anger,anger,3,False
Sounds like you'll be able to help me a lot.,happiness,1366,8,1,commissive,I really feel sounds like you will be able to help me a lot.,happiness,happiness,8,True
Not at all. Welcome again.,happiness,920,6,1,inform,Not at all. Welcome again.,happiness,happiness,8,False
I just broke up with a girl. Why didn't she understand that I loved her?,depression,1758,1,0,question,I just broke up with a girl. Why did not she understand that I loved her?,sadness,depression,0,False
Do you know if there is Japanese restaurant near the hotel?,calm_neutral,1129,2,0,question,Do you know if there is Japanese restaurant near the hotel?,no emotion,calm_neutral,11,False
Really? You guys must be really tight.,excitement,1438,2,1,question,Really? You guys must be really tight.,surprise,excitement,10,False
True? The food is terrible.,anger,2243,5,0,question,True? The food is terrible.,disgust,anger,3,False
You are welcome.,happiness,1182,8,1,inform,You are welcome.,happiness,happiness,8,False
"You're quite slim. In fact, if you were one of those starlets, the movie company would say you have a fabulous figure.",happiness,1181,15,1,inform,"You are quite slim. In fact, if you were one of those starlets, the movie company would say you have a fabulous figure.",happiness,happiness,8,False
Now he's looking over here! He's coming!,anxiety,1332,6,1,inform,Now he is looking over here! He is coming!,fear,anxiety,1,False
"Hello? Yes, someone has passed out at Dongle Avenue. and second street. He isn't breathing and doesn't have a pulse. Yes, my friend is performing CPR. Ok, thank you. They are sending an ambulance. Here, let me help.",anxiety,433,5,0,commissive,"Hello? Yes, someone has passed out at Dongle Avenue. and second street. He is not breathing and does not have a pulse. Yes, my friend is performing CPR. Ok, thank you. They are sending an ambulance. Here, let me help.",fear,anxiety,1,False
What a pity! I missed it again.,depression,1106,3,1,inform,What a pity! I missed it again.,sadness,depression,0,False
Is that right? This sure beats the old one?,excitement,2073,2,1,question,Is that right? This sure beats the old one?,surprise,excitement,10,False
Really? Have you ever tried Moroccan?,excitement,373,2,0,question,Really? Have you ever tried Moroccan?,surprise,excitement,10,False
Let's play other game.,calm_neutral,2134,6,0,directive,Let us play other game.,no emotion,calm_neutral,11,False
"Sure. Hey, I'm sorry, but I've got to get going.",depression,1024,13,0,commissive,"Sure. Hey, I am sorry, but I have got to get going.",sadness,depression,0,False
But I doubt myself.,depression,2319,9,1,inform,But I doubt myself.,sadness,depression,0,False
"Ur, you really let me down.",anger,2013,6,0,inform,"You Are, you really let me down.",anger,anger,3,False
